species,category,trait,baseline_value,domesticated_value,change_description,archaeological_proxy,time_span_years,generations_estimate,source_reference,data_quality,notes
Wheat,crop,Non-shattering rachis,Shattering (wild),Non-shattering,Loss of shattering in harvest spikelets,Proportions of tough rachis internodes in charred spikelet remains,2000-3000,2000-3000,"Purugganan & Fuller 2009; Allaby et al. 2017",3,Archaeobotanical evidence suggests gradual fixation
Wheat,crop,Grain size increase,1.0 (baseline),1.9 (approx),Approx 90% increase in grain size,Charred grain measurements from Neolithic sites,500-1500,500-1500,"Purugganan & Fuller 2009; Allaby et al. 2017",3,Values use reported percent change in domestication summaries
Wheat,crop,Free-threshing,Mostly hulled,Free-threshing,Reduced hull adherence,Q gene-associated archaeobotanical transition to free-threshing forms,500-2000,500-2000,"Purugganan & Fuller 2009; Allaby et al. 2017",3,Timing varies by region
Wheat,crop,Reduced chaff mass,1.0 (baseline),0.62 (approx),Approx 38% reduction in chaff,Spikelet morphology and chaff mass proxies,500-2000,500-2000,"Purugganan & Fuller 2009; Allaby et al. 2017",2,[VERIFY] Proxy based on reported chaff reduction in domestication summaries
Maize,crop,Ear length,2-3 cm,15-30 cm,Approx 7x-10x increase in ear size,Cob length from archaeological macrobotanical remains,5000+,5000+,"Matsuoka et al. 2002; Ramos-Madrigal et al. 2016",3,Archaeological cobs show continued increase after domestication start
Maize,crop,Kernel row number,2 rows,4-24 rows,Increase in kernel rows,Kernel row counts in ancient cobs,1000-5000,1000-5000,"Matsuoka et al. 2002; Tenaillon et al. 2004",3,Change is gradual and regionally variable
Maize,crop,Naked kernels (tga1),Hard fruitcase,Naked kernels,Loss of hard fruitcase covering kernels,Pericarp/fruitcase morphology in macro-remains,3700+,3700+,"Matsuoka et al. 2002; Wright et al. 2005",3,Ancient DNA indicates late fixation
Maize,crop,Non-shattering cob,Shattering,Non-shattering,Retention of kernels on cob,Cob disarticulation evidence in archaeological samples,<1000,<1000,"Matsuoka et al. 2002; Tenaillon et al. 2004",3,Essential for harvest
Cattle,animal,Body size reduction,160-180 cm (aurochs),120-150 cm (domestic),Approx 25-35% reduction in stature,Long bone metrics from archaeological remains,800-1000,800-1000,"Murray et al. 2010; Bollongino et al. 2012",4,Height ranges use reported aurochs vs domestic estimates
Cattle,animal,Docility proxy (brain size),1.0 (baseline),Reduced,Brain size reduction correlated with domestication,Endocranial volume in skeletal remains,50-200,50-200,"Murray et al. 2010; Larson & Fuller 2014",2,[VERIFY] Brain size as behavioral proxy varies by region and breed
