record_id,year,trial_name,nct_number,intervention,biomarker,indication,outcome_measure,experiments_tested,successes,response_rate_matched,response_rate_unmatched,sample_size_unmatched,esp,effective_nnt,trial_phase,notes,source_title,doi,pmid,source_url,data_quality_score
E3-IMPACT-2019,2019,IMPACT study,NCT00851032,Matched targeted therapy,Actionable genomic alteration,Advanced solid tumors,Objective response rate,711.0,117.0,0.164,0.054,596.0,6.1,6.1,II,Response rates reported as matched 16.4% vs unmatched 5.4%. Sample sizes from Table 1. Successes computed as round(n * response rate).,Long-term overall survival and prognostic score predicting survival: the IMPACT study in precision medicine,10.1186/s13045-019-0835-1,31888672.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6937824/,4
E3-NCIMATCH-BRAF-2026,2026,NCI-MATCH Subprotocol H,NCT02465060,Dabrafenib + trametinib,BRAF V600E,Refractory solid tumors and lymphomas,Objective response rate,36.0,13.0,0.361,,,2.77,2.77,II,Updated cohort ORR 36.1% (13/36; 90% CI 22.9-51.2) from primary analysis update.,Phase II Study of Dabrafenib and Trametinib in Patients With Tumors With BRAF V600E Mutations: Updated Results From NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol H,10.1200/po-25-00338,41533998.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12810769/,4
E3-NTRK-LAROTRECTINIB-2018,2018,Pooled TRK fusion trials,NCT02122913;NCT02576431;NCT02637687,Larotrectinib,NTRK gene fusion,TRK fusion-positive cancers,Objective response rate,55.0,41.0,0.75,,,1.33,1.33,I/II,ORR 75% reported; table notes 7 complete + 34 partial responses among 55 patients.,Efficacy of Larotrectinib in TRK Fusion-Positive Cancers in Adults and Children,10.1056/NEJMoa1714448,29466156.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857389/,4
E3-MSIH-PBRO-2020,2020,KEYNOTE-158,NCT02628067,Pembrolizumab,MSI-H/dMMR,Advanced solid tumors,Objective response rate,233.0,80.0,0.343,,,2.92,2.92,II,KEYNOTE-158 abstract reports 233 enrolled with ORR 34.3% (95% CI 28.3-40.8) in MSI-H/dMMR noncolorectal cancers.,Pembrolizumab in patients with MSI-H/dMMR cancers (KEYNOTE-158),10.1200/JCO.19.02652,31682550.0,https://ascopubs.org/doi/10.1200/JCO.19.02652,2
E3-HER2-TRAST-2001,2001,HER2+ metastatic breast cancer,,Trastuzumab + chemotherapy,HER2 overexpression,Metastatic breast cancer,Objective response rate,235.0,118.0,0.5,0.32,234.0,2.0,2.0,III,Randomized 235 to trastuzumab+chemo vs 234 to chemo alone; ORR 50% vs 32% per abstract.,Use of chemotherapy plus a monoclonal antibody against HER2 for metastatic breast cancer,10.1056/NEJM200103153441101,11248153.0,https://www.nejm.org/doi/full/10.1056/NEJM200103153441101,2
E3-EGFR-GEFITINIB-2009,2009,IPASS,NCT00322452,Gefitinib,Clinically enriched (East Asian never/light smokers),NSCLC,Objective response rate,609.0,262.0,0.43,0.322,608.0,2.32,2.32,III,ClinicalTrials.gov NCT00322452 reports ITT ORR 262/609 (gefitinib) vs 196/608 (carboplatin-paclitaxel).,Gefitinib or carboplatin-paclitaxel in pulmonary adenocarcinoma,10.1056/NEJMoa0810699,19692680.0,https://www.nejm.org/doi/full/10.1056/NEJMoa0810699,2
E3-ALK-CRIZ-2011,2011,PROFILE 1001,NCT00585195,Crizotinib,ALK fusion,NSCLC,Objective response rate,116.0,71.0,0.612,,,1.63,1.63,I/II,ClinicalTrials.gov NCT00585195 (RP2D ALK-positive cohort) ORR 61.2% (denominator 116).,Crizotinib in ALK-rearranged non-small-cell lung cancer,10.1056/NEJMoa1015973,,https://www.nejm.org/doi/full/10.1056/NEJMoa1015973,2
E3-BRAF-VEM-2011,2011,BRIM-3,NCT01006980,Vemurafenib,BRAF V600E,Metastatic melanoma,Objective response rate,219.0,106.0,0.484,0.055,220.0,2.07,2.07,III,ClinicalTrials.gov NCT01006980 reports ORR 106/219 (vemurafenib) vs 12/220 (dacarbazine).,Improved survival with vemurafenib in melanoma with BRAF V600E mutation,10.1056/NEJMoa1103782,21639808.0,https://www.nejm.org/doi/full/10.1056/NEJMoa1103782,2
E3-BCRABL-IMATINIB-2003,2003,IRIS,,Imatinib,BCR-ABL,Chronic myeloid leukemia,Complete cytogenetic response,553.0,422.0,0.762,0.145,553.0,1.31,1.31,III,IRIS trial abstract: complete cytogenetic response 76.2% at 18 months with imatinib vs 14.5% with interferon+cytarabine (n=553 each).,Interferon alfa plus cytarabine versus imatinib for newly diagnosed chronic-phase chronic myeloid leukemia,10.1056/NEJMoa021119,12637609.0,https://www.nejm.org/doi/full/10.1056/NEJMoa021119,2
E3-PDL1-PBRO-2016,2016,KEYNOTE-024,NCT02142738,Pembrolizumab,PD-L1 >=50%,NSCLC,Objective response rate,154.0,69.0,0.448,0.278,151.0,2.23,2.23,III,"ClinicalTrials.gov NCT02142738 ORR 44.8% (pembrolizumab, n=154) vs 27.8% (chemo, n=151).",Pembrolizumab versus chemotherapy for PD-L1–positive non–small-cell lung cancer,10.1056/NEJMoa1606774,,https://www.nejm.org/doi/full/10.1056/NEJMoa1606774,2
