page_slug,page_title,page_url,year,nnt_type,nnt_value,outcome_text,intervention,condition,comparator,therapeutic_area,time_horizon,notes
statins-persons-low-risk-cardiovascular-disease,Statins in Persons at Low Risk of Cardiovascular Disease,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/,2017,benefit,217,1 in 217 avoided a nonfatal heart attack (myocardial infarction),Statins,Low-risk primary prevention of cardiovascular disease,Placebo or standard care,cardiovascular,,NNT values summarized by TheNNT; time horizon not specified in summary [VERIFY]
statins-persons-low-risk-cardiovascular-disease,Statins in Persons at Low Risk of Cardiovascular Disease,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/,2017,benefit,313,1 in 313 avoided a nonfatal stroke,Statins,Low-risk primary prevention of cardiovascular disease,Placebo or standard care,cardiovascular,,NNT values summarized by TheNNT; time horizon not specified in summary [VERIFY]
statins-persons-low-risk-cardiovascular-disease,Statins in Persons at Low Risk of Cardiovascular Disease,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/,2017,harm,21,1 in 21 experienced pain from muscle damage,Statins,Low-risk primary prevention of cardiovascular disease,Placebo or standard care,cardiovascular,,NNT values summarized by TheNNT; time horizon not specified in summary [VERIFY]
statins-persons-low-risk-cardiovascular-disease,Statins in Persons at Low Risk of Cardiovascular Disease,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/,2017,harm,204,1 in 204 developed diabetes mellitus,Statins,Low-risk primary prevention of cardiovascular disease,Placebo or standard care,cardiovascular,,NNT values summarized by TheNNT; time horizon not specified in summary [VERIFY]
anti-hypertensives-to-prevent-death-heart-attacks-and-strokes,"Anti-Hypertensives to Prevent Death, Heart Attacks, and Strokes",https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014,benefit,125,1 in 125 were helped (prevented death),Anti-hypertensives,Hypertension primary prevention of death/MI/stroke,Placebo or standard care,cardiovascular,,Comparator and population details require source review [VERIFY]
anti-hypertensives-to-prevent-death-heart-attacks-and-strokes,"Anti-Hypertensives to Prevent Death, Heart Attacks, and Strokes",https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014,benefit,67,1 in 67 were helped (prevented stroke),Anti-hypertensives,Hypertension primary prevention of death/MI/stroke,Placebo or standard care,cardiovascular,,Comparator and population details require source review [VERIFY]
anti-hypertensives-to-prevent-death-heart-attacks-and-strokes,"Anti-Hypertensives to Prevent Death, Heart Attacks, and Strokes",https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014,benefit,100,1 in 100 were helped (prevented heart attack: fatal and non-fatal myocardial infarction and sudden or rapid cardiac death),Anti-hypertensives,Hypertension primary prevention of death/MI/stroke,Placebo or standard care,cardiovascular,,Comparator and population details require source review [VERIFY]
anti-hypertensives-to-prevent-death-heart-attacks-and-strokes,"Anti-Hypertensives to Prevent Death, Heart Attacks, and Strokes",https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014,harm,10,"1 in 10 were harmed (medication side effects, stopping the drug)",Anti-hypertensives,Hypertension primary prevention of death/MI/stroke,Placebo or standard care,cardiovascular,,Comparator and population details require source review [VERIFY]
aspirin-to-prevent-a-first-heart-attack-or-stroke-2,Aspirin to Prevent a First Heart Attack or Stroke,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015,benefit,1667,1 in 1667 were helped (cardiovascular problem prevented),Aspirin,Primary prevention of first heart attack or stroke,Placebo or no aspirin,cardiovascular,,Comparator and follow-up duration require source review [VERIFY]
aspirin-to-prevent-a-first-heart-attack-or-stroke-2,Aspirin to Prevent a First Heart Attack or Stroke,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015,benefit,2000,1 in 2000 were helped (prevented non-fatal heart attack),Aspirin,Primary prevention of first heart attack or stroke,Placebo or no aspirin,cardiovascular,,Comparator and follow-up duration require source review [VERIFY]
