page_slug,url,intervention,condition,comparator,therapeutic_area,time_horizon,notes
statins-persons-low-risk-cardiovascular-disease,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/,Statins,Low-risk primary prevention of cardiovascular disease,Placebo or standard care,cardiovascular,,NNT values summarized by TheNNT; time horizon not specified in summary [VERIFY]
anti-hypertensives-to-prevent-death-heart-attacks-and-strokes,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,Anti-hypertensives,Hypertension primary prevention of death/MI/stroke,Placebo or standard care,cardiovascular,,Comparator and population details require source review [VERIFY]
aspirin-to-prevent-a-first-heart-attack-or-stroke-2,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,Aspirin,Primary prevention of first heart attack or stroke,Placebo or no aspirin,cardiovascular,,Comparator and follow-up duration require source review [VERIFY]
warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,Warfarin,Atrial fibrillation stroke prevention,Aspirin,cardiovascular,,Comparator explicit; confirm population characteristics [VERIFY]
paxlovid-for-nonhospitalized-patients-with-covid-19,https://thennt.com/nnt/paxlovid-for-nonhospitalized-patients-with-covid-19/,Paxlovid (nirmatrelvir/ritonavir),Nonhospitalized COVID-19,Placebo or standard care,infectious disease,,Outcome timeframe and population risk require source review [VERIFY]
corticosteroids-for-community-acquired-bacterial-pneumonia,https://thennt.com/nnt/corticosteroids-for-community-acquired-bacterial-pneumonia/,Corticosteroids,Community-acquired bacterial pneumonia,Placebo or standard care,infectious disease,,Comparator and follow-up duration require source review [VERIFY]
cranberry-products-for-preventing-urinary-tract-infections,https://thennt.com/nnt/cranberry-products-for-preventing-urinary-tract-infections/,Cranberry products,Prevention of urinary tract infections,Placebo or no cranberry,infectious disease,,Population and follow-up duration require source review [VERIFY]
low-dose-ct-scan-lung-cancer-screening,https://thennt.com/nnt/low-dose-ct-scan-lung-cancer-screening/,Low-dose CT screening,Lung cancer screening in at-risk adults,No screening or usual care,oncology,,Eligibility criteria and follow-up duration require source review [VERIFY]
hpv-vaccines-prevention-cervical-pre-cancer-adolescent-girls-women,https://thennt.com/nnt/hpv-vaccines-prevention-cervical-pre-cancer-adolescent-girls-women/,HPV vaccination,Prevention of cervical pre-cancer,Placebo or no vaccine,oncology,,Population and follow-up duration require source review [VERIFY]
psa-test-to-screen-for-prostate-cancer-2,https://thennt.com/nnt/psa-test-to-screen-for-prostate-cancer-2/,PSA screening,Prostate cancer screening,No screening or usual care,oncology,,Outcome definitions and follow-up duration require source review [VERIFY]
sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes,https://thennt.com/nnt/sglt-2-inhibitors-and-glp-1-receptor-agonists-for-type-2-diabetes/,SGLT-2 inhibitors and GLP-1 receptor agonists,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
metformin-for-type-2-diabetes-mellitus,https://thennt.com/nnt/metformin-for-type-2-diabetes-mellitus/,Metformin,Type 2 diabetes mellitus,Placebo or standard care,diabetes/metabolic,,Comparator and outcome timeframes require source review [VERIFY]
endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke,https://thennt.com/nnt/endovascular-therapy-for-acute-vertebrobasilar-occlusion-stroke/,Endovascular therapy,Acute vertebrobasilar occlusion stroke,Standard medical therapy,neurological,,Outcome time horizons noted in outcome text [VERIFY]
early-endovascular-thrombectomy-large-vessel-ischemic-stroke-reduces-disability-90-days,https://thennt.com/nnt/early-endovascular-thrombectomy-large-vessel-ischemic-stroke-reduces-disability-90-days/,Early endovascular thrombectomy,Large-vessel ischemic stroke,Standard medical therapy,neurological,90 days,Outcome time horizon in title; confirm protocol details [VERIFY]
