Domain,Subdomain,Time_period,ESP,log10_ESP,PCS_level,PCS_score,PCS_method,PCS_notes,ESP_normalized,log10_ESP_normalized,Quality_score,Source
Evolution,Major transition: Origin of life (chemistry to biology),~4.0-3.5 Ga,1e+19,19.0,7,64.0,rubric,Major transitions in biological organization.,1.5625e+17,17.193820026016112,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Chromosomes (free genes to linked genes),~3.8-3.4 Ga,1.7378008287493835e+19,19.240000000000002,7,64.0,rubric,Major transitions in biological organization.,2.7153137949209117e+17,17.433820026016114,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Genetic code (RNA to DNA/protein),~3.8-3.3 Ga,1.7378008287493835e+19,19.240000000000002,7,64.0,rubric,Major transitions in biological organization.,2.7153137949209117e+17,17.433820026016114,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Eukaryotes (endosymbiosis),~2.0-1.5 Ga,4.897788193684436e+16,16.689999999999998,7,64.0,rubric,Major transitions in biological organization.,765279405263193.1,14.88382002601611,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Sex (asexual to sexual),~1.8-1.2 Ga,3.7583740428844664e+16,16.575000000000003,7,64.0,rubric,Major transitions in biological organization.,587245944200697.9,14.768820026016115,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Multicellularity (unicellular to multicellular),~1.0-0.6 Ga,3162277660168379.5,15.5,7,64.0,rubric,Major transitions in biological organization.,49410588440130.93,13.693820026016112,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Eusociality (solitary to social),~150-100 Ma,630957344480194.2,14.8,7,64.0,rubric,Major transitions in biological organization.,9858708507503.035,12.993820026016113,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Major transition: Language (primate to human),~0.2-0.05 Ma,162181009.73589265,8.209999999999999,7,64.0,rubric,Major transitions in biological organization.,2534078.2771233227,6.4038200260161116,2,Maynard Smith & Szathmary 1995; A2 major transitions
Evolution,Mutation rate baseline: E. coli,modern,333.3333333333333,2.5228787452803374,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,333.3333333333333,2.5228787452803374,4,Drake 1991; Drake et al. 1998; Lee et al. 2012
Evolution,Mutation rate baseline: S. cerevisiae,modern,333.3333333333333,2.5228787452803374,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,333.3333333333333,2.5228787452803374,4,Lynch et al. 2008; Zhu et al. 2014
Evolution,Mutation rate baseline: C. elegans,modern,0.47619047619047616,-0.3222192947339193,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,0.47619047619047616,-0.3222192947339193,4,Denver et al. 2009
Evolution,Mutation rate baseline: D. melanogaster,modern,1.0,0.0,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,1.0,0.0,4,Keightley et al. 2009
Evolution,Mutation rate baseline: Mouse,modern,0.03333333333333333,-1.4771212547196624,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,0.03333333333333333,-1.4771212547196624,4,Uchimura et al. 2015; Lindsay et al. 2019
Evolution,Mutation rate baseline: Human,modern,0.0125,-1.9030899869919435,1,1.0,baseline,Mutation-rate baselines are not phenotype outcomes; PCS set to 1 for normalization.,0.0125,-1.9030899869919435,4,Kong et al. 2012; BioNumbers
Domestication,Domestication: wheat,10500 BP,8100000.0,6.9,3,4.0,rubric,Domestication syndrome typically involves multiple coordinated traits.,2025000.0,6.306425027550687,4,"Purugganan MD, Fuller DQ 2009; Allaby RG et al. 2017; Thuillet AC et al. 2005"
Domestication,Domestication: maize,9000 BP,1500000.0,6.2,3,4.0,rubric,Domestication syndrome typically involves multiple coordinated traits.,375000.0,5.574031267727719,4,Matsuoka Y et al. 2002; Eyre-Walker A et al. 1998; Tenaillon MI et al. 2004
Domestication,Domestication: dogs,27-40 kya,33000.0,4.5,3,4.0,rubric,Domestication syndrome typically involves multiple coordinated traits.,8250.0,3.916453948549925,4,"Larson G, Fuller DQ 2014; Freedman AH et al. 2014; Trut L et al. 2009"
Domestication,Domestication: cattle,unknown,250000.0,5.4,3,4.0,rubric,Domestication syndrome typically involves multiple coordinated traits.,62500.0,4.795880017344075,4,Bollongino R et al. 2012; Scheu A et al. 2015; Murray C et al. 2010
Breeding,CIMMYT wheat,1966-2000,552500.0,5.7423322823571485,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",552500.0,5.7423322823571485,4,Evenson & Gollin 2003; CIMMYT annual reports
Breeding,CIMMYT maize,1966-2000,97142.85714285714,4.98741087269198,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",97142.85714285714,4.98741087269198,4,Duvick 2005; CIMMYT reports
Breeding,US soybean (public programs),1960-2000,1800000.0,6.3,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",1800000.0,6.2552725051033065,3,Specht & Williams 1984; Wilcox 2001; Rincker et al. 2014
Breeding,US dairy cattle,1970-2000,36000.0,4.6,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",36000.0,4.556302500767287,5,VanRaden 2004; Shook 2006; USDA AIPL
Breeding,Speed breeding (wheat; controlled environment speed breeding),2018,221000.0,5.344392273685111,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",221000.0,5.344392273685111,3,Watson et al. 2018; 10.1038/s41477-017-0083-8
Breeding,Speed breeding (wheat; embryo culture + optimized environment),2013,165667.16641679162,5.21923644410458,1,1.0,rubric,"Single quantitative trait shifts (e.g., yield) dominate program targets.",165667.16641679162,5.21923644410458,3,Zheng et al. 2013; 10.1007/s10681-013-0909-z
Protein engineering,Directed evolution,1994,1000000.0,6.0,4,8.0,rubric,Novel or repurposed protein function using existing parts.,125000.0,5.096910013008056,2,10.1038/370389a0
Protein engineering,Directed evolution,1999,10000.0,4.0,4,8.0,rubric,Novel or repurposed protein function using existing parts.,1250.0,3.0969100130080562,2,10.1093/protein/12.1.47
Protein engineering,Directed evolution,2001,10000.0,4.0,4,8.0,rubric,Novel or repurposed protein function using existing parts.,1250.0,3.0969100130080562,2,10.1002/1615-4169(200108)343:6/7<601::AID-ADSC601>3.0.CO;2-9
Protein engineering,Directed evolution,2005,5000.0,3.6989700043360183,4,8.0,rubric,Novel or repurposed protein function using existing parts.,625.0,2.7958800173440754,2,10.1021/bi0475471
Protein engineering,Directed evolution,2025,166666.66666666666,5.221848749616356,4,8.0,rubric,Novel or repurposed protein function using existing parts.,20833.333333333332,4.318758762624412,4,10.1002/pro.70322
Protein engineering,Directed evolution,2025,16666666.666666666,7.221848749616356,4,8.0,rubric,Novel or repurposed protein function using existing parts.,2083333.3333333333,6.318758762624412,4,10.1021/acssynbio.5c00425
Protein engineering,Directed evolution,2026,10000.0,4.0,4,8.0,rubric,Novel or repurposed protein function using existing parts.,1250.0,3.0969100130080562,3,10.1016/j.synbio.2025.10.001
Protein engineering,ML-guided protein design,2020,4.777777777777778,0.6792259461402617,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.5972222222222222,-0.22386404085168193,3,10.1101/2020.07.22.211482
Protein engineering,ML-guided protein design,2021,4.777777777777778,0.6792259461402617,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.5972222222222222,-0.22386404085168193,4,10.1038/s41586-021-04184-w
Protein engineering,ML-guided protein design,2022,12.333333333333334,1.0910804693473326,4,8.0,rubric,Novel or repurposed protein function using existing parts.,1.5416666666666667,0.18799048235538898,4,10.1126/science.abn2100
Protein engineering,ML-guided protein design,2023,5.571428571428571,0.7459665670122424,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.6964285714285714,-0.15712341997970122,4,10.1002/pro.4653
Protein engineering,ML-guided protein design,2023,2.5357142857142856,0.404100317376856,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.3169642857142857,-0.49898966961508756,4,10.1073/pnas.2207974120
Protein engineering,ML-guided protein design,2024,2.0,0.3010299956639812,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.25,-0.6020599913279624,3,10.3390/molecules29204965
Protein engineering,ML-guided protein design,2024,1.2,0.0791812460476248,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.15,-0.8239087409443188,4,10.1002/pro.5001
Protein engineering,ML-guided protein design,2025,2.7777777777777777,0.4436974992327127,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.3472222222222222,-0.45939248775923086,4,10.1073/pnas.2512358122
Protein engineering,ML-guided protein design,2025,14.666666666666666,1.166331421766525,4,8.0,rubric,Novel or repurposed protein function using existing parts.,1.8333333333333333,0.2632414347745814,4,10.1073/pnas.2409566122
Protein engineering,ML-guided protein design,2025,1.181818181818182,0.0725506671486117,4,8.0,rubric,Novel or repurposed protein function using existing parts.,0.14772727272727276,-0.8305393198433317,4,10.1073/pnas.2409566122
Medicine,NNT (TheNNT),2017,217.0,2.3364597338485296,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,108.5,2.0354297381845483,3,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/
Medicine,NNT (TheNNT),2017,313.0,2.4955443375464483,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,156.5,2.194514341882467,3,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/
Medicine,NNT (TheNNT),2017,21.0,1.3222192947339193,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,10.5,1.021189299069938,3,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/
Medicine,NNT (TheNNT),2017,204.0,2.3096301674258988,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,102.0,2.0086001717619175,3,https://thennt.com/nnt/statins-persons-low-risk-cardiovascular-disease/
Medicine,NNT (TheNNT),2014,125.0,2.0969100130080562,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,62.5,1.7958800173440752,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/
Medicine,NNT (TheNNT),2014,67.0,1.8260748027008264,2,2.0,rubric,Single qualitative therapeutic response (binary clinical endpoint).,33.5,1.5250448070368452,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/
