Domain,Subdomain,Time_period,ESP,log10_ESP,Quality_score,Source,year,time_note
Breeding,US soybean (public programs),1960-2000,1800000.0,6.2552725051033065,3,Specht & Williams 1984; Wilcox 2001; Rincker et al. 2014,1980.0,ok
Breeding,CIMMYT wheat,1966-2000,552500.0,5.7423322823571485,4,Evenson & Gollin 2003; CIMMYT annual reports,1983.0,ok
Breeding,CIMMYT maize,1966-2000,97142.85714285714,4.98741087269198,4,Duvick 2005; CIMMYT reports,1983.0,ok
Breeding,US dairy cattle,1970-2000,36000.0,4.556302500767287,5,VanRaden 2004; Shook 2006; USDA AIPL,1985.0,ok
Breeding,Speed breeding (wheat; embryo culture + optimized environment),2013,165667.16641679162,5.21923644410458,3,Zheng et al. 2013; 10.1007/s10681-013-0909-z,2013.0,ok
Breeding,Speed breeding (wheat; controlled environment speed breeding),2018,221000.0,5.344392273685111,3,Watson et al. 2018; 10.1038/s41477-017-0083-8,2018.0,ok
Domestication,Domestication: wheat,10500 BP,8100000.0,6.9084850188786495,4,"Purugganan MD, Fuller DQ 2009; Allaby RG et al. 2017; Thuillet AC et al. 2005",-8550.0,ok
Domestication,Domestication: maize,9000 BP,1500000.0,6.176091259055681,4,Matsuoka Y et al. 2002; Eyre-Walker A et al. 1998; Tenaillon MI et al. 2004,-7050.0,ok
Domestication,Domestication: dogs,27-40 kya,33000.0,4.518513939877887,4,"Larson G, Fuller DQ 2014; Freedman AH et al. 2014; Trut L et al. 2009",8450.0,ok
Evolution,Major transition: Sex (asexual to sexual),~1.8-1.2 Ga,3.7583740428844664e+16,16.575000000000003,2,Maynard Smith & Szathmary 1995; A2 major transitions,-299998050.00000006,ok
Evolution,Major transition: Origin of life (chemistry to biology),~4.0-3.5 Ga,1e+19,19.0,2,Maynard Smith & Szathmary 1995; A2 major transitions,-249998050.0,ok
Evolution,Major transition: Genetic code (RNA to DNA/protein),~3.8-3.3 Ga,1.7378008287493837e+19,19.240000000000002,2,Maynard Smith & Szathmary 1995; A2 major transitions,-249998050.0,ok
Evolution,Major transition: Eukaryotes (endosymbiosis),~2.0-1.5 Ga,4.897788193684436e+16,16.689999999999998,2,Maynard Smith & Szathmary 1995; A2 major transitions,-249998050.0,ok
Evolution,Major transition: Multicellularity (unicellular to multicellular),~1.0-0.6 Ga,3162277660168379.5,15.5,2,Maynard Smith & Szathmary 1995; A2 major transitions,-199998050.0,ok
Evolution,Major transition: Chromosomes (free genes to linked genes),~3.8-3.4 Ga,1.7378008287493837e+19,19.240000000000002,2,Maynard Smith & Szathmary 1995; A2 major transitions,-199998049.99999997,ok
Evolution,Major transition: Eusociality (solitary to social),~150-100 Ma,630957344480194.2,14.8,2,Maynard Smith & Szathmary 1995; A2 major transitions,-24998050.0,ok
Evolution,Major transition: Language (primate to human),~0.2-0.05 Ma,162181009.73589265,8.209999999999999,2,Maynard Smith & Szathmary 1995; A2 major transitions,-73050.00000000001,ok
Medicine,FDA pivotal trials,1998,14.802153432032302,1.170324901585285,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/492dbdb2-077e-4064-bff3-372d6af0a7a2.xml,1998.0,ok
Medicine,FDA pivotal trials,2001,2.502262443438914,0.39833285761958753,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/211ef2da-2868-4a77-8055-1cb2cd78e24b.xml,2001.0,ok
Medicine,NNT (TheNNT),2013,60.0,1.7781512503836436,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013.0,ok
Medicine,NNT (TheNNT),2013,360.0,2.5563025007672873,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013.0,ok
Medicine,NNT (TheNNT),2013,167.0,2.2227164711475833,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013.0,ok
Medicine,NNT (TheNNT),2013,25.0,1.3979400086720377,3,https://thennt.com/nnt/warfarin-vs-aspirin-for-atrial-fibrillation-stroke-prevention/,2013.0,ok
Medicine,FDA pivotal trials,2013,1.0792079207920793,0.033105124157981086,4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/80beab2c-396e-4a37-a4dc-40fdb62859cf.xml,2013.0,ok
Medicine,NNT (TheNNT),2014,125.0,2.0969100130080562,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014.0,ok
Medicine,NNT (TheNNT),2014,67.0,1.8260748027008264,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014.0,ok
Medicine,NNT (TheNNT),2014,100.0,2.0,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014.0,ok
Medicine,NNT (TheNNT),2014,10.0,1.0,3,https://thennt.com/nnt/anti-hypertensives-to-prevent-death-heart-attacks-and-strokes/,2014.0,ok
Medicine,NNT (TheNNT),2015,1667.0,3.2219355998280053,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015.0,ok
Medicine,NNT (TheNNT),2015,2000.0,3.3010299956639813,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015.0,ok
Medicine,NNT (TheNNT),2015,3000.0,3.4771212547196626,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015.0,ok
Medicine,NNT (TheNNT),2015,3333.0,3.52283531366053,3,https://thennt.com/nnt/aspirin-to-prevent-a-first-heart-attack-or-stroke-2/,2015.0,ok
